filename,width,height,class,xmin,ymin,xmax,ymax
top_right_route112.DIB.png,320,480,misc,111,369,203,450
top_right_route112.DIB.png,320,480,cave,8,137,79,181
bot_left_route112.DIB.png,320,480,cave,154,75,213,116
bot_left_route112.DIB.png,320,480,misc,91,230,136,286
bot_right_underwater2.DIB.png,640,640,cave,34,363,139,420
top_left_petalburg.DIB.png,240,240,gym,189,63,240,148
top_left_petalburg.DIB.png,240,240,normal_house,78,30,164,99
top_right_petalburg.DIB.png,240,240,pokemon_center,61,205,131,240
top_right_petalburg.DIB.png,240,240,pokemart,140,149,209,211
top_right_petalburg.DIB.png,240,240,gym,1,63,50,148
bot_left_petalburg.DIB.png,240,240,normal_house,142,13,211,84
bot_right_petalburg.DIB.png,240,240,pokemon_center,61,1,131,35
bot_right_petalburg.DIB.png,240,240,normal_house,60,94,129,162
top_left_rustboro.DIB.png,320,480,misc,153,198,231,259
top_left_rustboro.DIB.png,320,480,normal_house,141,397,292,480
top_right_rustboro.DIB.png,320,480,gym,62,237,164,324
top_right_rustboro.DIB.png,320,480,normal_house,174,236,260,325
top_right_rustboro.DIB.png,320,480,normal_house,125,383,210,467
bot_left_rustboro.DIB.png,320,480,normal_house,106,62,196,146
bot_left_rustboro.DIB.png,320,480,normal_house,47,295,164,356
bot_left_rustboro.DIB.png,320,480,pokemart,236,195,306,258
bot_left_rustboro.DIB.png,320,480,pokemon_center,236,79,306,148
bot_right_rustboro.DIB.png,320,480,normal_house,60,1,181,86
bot_right_rustboro.DIB.png,320,480,normal_house,60,190,165,277
top_left_lavaridge.DIB.png,160,160,pokemon_center,127,47,160,114
top_right_lavaridge.DIB.png,160,160,pokemon_center,1,47,33,114
top_right_lavaridge.DIB.png,160,160,pokemart,63,39,128,99
bot_left_lavaridge.DIB.png,160,160,gym,32,15,131,97
bot_right_lavaridge.DIB.png,160,160,normal_house,14,30,80,98
bot_right_lavaridge.DIB.png,160,160,normal_house,81,30,145,100
top_left_route121.DIB.png,640,160,misc,557,26,640,100
top_left_oldale.DIB.png,160,160,normal_house,62,62,131,131
top_right_oldale.DIB.png,160,160,pokemart,44,54,114,115
bot_left_oldale.DIB.png,160,160,pokemon_center,78,46,146,113
bot_right_oldale.DIB.png,160,160,normal_house,62,46,130,113
top_left_evergrande.DIB.png,320,640,cave,281,419,312,452
top_left_evergrande.DIB.png,320,640,misc,252,35,320,117
bot_left_evergrande.DIB.png,320,640,cave,277,1,313,32
bot_right_evergrande.DIB.png,320,640,pokemon_center,92,79,161,144
top_left_sootopolis.DIB.png,480,480,normal_house,124,214,178,291
top_left_sootopolis.DIB.png,480,480,normal_house,125,36,179,115
top_left_sootopolis.DIB.png,480,480,pokemart,253,423,322,480
top_left_sootopolis.DIB.png,480,480,normal_house,127,367,179,439
top_right_sootopolis.DIB.png,480,480,normal_house,204,214,260,292
top_right_sootopolis.DIB.png,480,480,normal_house,349,396,405,467
top_right_sootopolis.DIB.png,480,480,normal_house,268,348,324,420
top_right_sootopolis.DIB.png,480,480,gym,1,446,66,480
top_right_sootopolis.DIB.png,480,480,normal_house,220,44,274,115
top_right_sootopolis.DIB.png,480,480,cave,1,234,59,281
bot_left_sootopolis.DIB.png,480,480,normal_house,109,29,163,102
bot_right_sootopolis.DIB.png,480,480,normal_house,318,45,370,113
bot_right_sootopolis.DIB.png,480,480,gym,1,1,66,50
top_left_route104.DIB.png,320,640,misc,46,236,147,308
top_left_route104.DIB.png,320,640,misc,153,592,199,640
bot_left_route104.DIB.png,320,640,misc,238,111,320,178
bot_right_route104.DIB.png,320,640,misc,180,9,238,65
top_left_route111.DIB.png,320,1120,misc,286,844,320,946
top_right_route111.DIB.png,320,1120,normal_house,78,238,146,307
top_right_route111.DIB.png,320,1120,misc,1,844,17,946
bot_left_route111.DIB.png,320,1120,normal_house,174,622,258,703
bot_right_route111.DIB.png,320,1120,cave,108,223,194,293
bot_right_route111.DIB.png,320,1120,cave,143,650,227,707
top_left_route108.DIB.png,480,160,misc,431,55,480,108
top_right_route108.DIB.png,480,160,misc,1,55,44,108
top_left_verdanturf.DIB.png,160,160,misc,16,49,98,131
top_left_verdanturf.DIB.png,160,160,cave,110,3,160,35
top_right_verdanturf.DIB.png,160,160,pokemart,14,7,80,66
top_right_verdanturf.DIB.png,160,160,pokemon_center,80,1,145,65
bot_left_verdanturf.DIB.png,160,160,normal_house,125,14,160,80
bot_left_verdanturf.DIB.png,160,160,normal_house,1,14,67,82
bot_right_verdanturf.DIB.png,160,160,normal_house,1,14,48,80
bot_right_verdanturf.DIB.png,160,160,normal_house,95,29,159,97
bot_right_route122.DIB.png,320,320,cave,4,115,82,168
top_left_littleroot.DIB.png,160,160,normal_house,30,63,114,146
top_right_littleroot.DIB.png,160,160,normal_house,47,64,129,146
bot_left_littleroot.DIB.png,160,160,misc,46,31,160,114
top_left_pacifidlog.DIB.png,160,320,pokemon_center,108,191,160,260
top_left_pacifidlog.DIB.png,160,320,normal_house,14,144,66,212
top_right_pacifidlog.DIB.png,160,320,pokemon_center,1,191,19,260
top_right_pacifidlog.DIB.png,160,320,normal_house,78,160,128,227
top_right_pacifidlog.DIB.png,160,320,normal_house,93,289,145,320
bot_left_pacifidlog.DIB.png,160,320,normal_house,30,1,81,50
bot_right_pacifidlog.DIB.png,160,320,normal_house,93,1,145,35
bot_right_pacifidlog.DIB.png,160,320,normal_house,15,15,66,82
bot_left_underwater4.DIB.png,960,320,cave,572,72,661,115
top_left_lilycove.DIB.png,640,320,pokemon_center,366,177,433,243
top_left_lilycove.DIB.png,640,320,normal_house,176,174,241,241
top_left_lilycove.DIB.png,640,320,normal_house,157,302,227,320
top_left_lilycove.DIB.png,640,320,normal_house,590,174,640,244
top_left_lilycove.DIB.png,640,320,normal_house,559,46,626,115
top_left_lilycove.DIB.png,640,320,misc,136,60,245,148
top_left_lilycove.DIB.png,640,320,misc,367,52,511,113
top_right_lilycove.DIB.png,640,320,normal_house,1,174,34,244
top_right_lilycove.DIB.png,640,320,normal_house,13,44,81,115
top_right_lilycove.DIB.png,640,320,normal_house,221,190,289,259
top_right_lilycove.DIB.png,640,320,cave,461,54,513,106
bot_left_lilycove.DIB.png,640,320,normal_house,157,1,227,50
bot_left_lilycove.DIB.png,640,320,normal_house,570,1,640,82
bot_left_lilycove.DIB.png,640,320,misc,139,111,260,211
bot_left_lilycove.DIB.png,640,320,misc,317,1,435,85
bot_right_lilycove.DIB.png,640,320,normal_house,1,1,35,82
top_left_dewford.DIB.png,160,160,pokemon_center,14,111,82,160
top_left_dewford.DIB.png,160,160,normal_house,110,79,160,145
top_left_dewford.DIB.png,160,160,normal_house,15,1,97,65
bot_left_dewford.DIB.png,160,160,gym,78,47,160,129
bot_right_dewford.DIB.png,160,160,gym,1,47,32,129
bot_right_dewford.DIB.png,160,160,normal_house,94,14,159,81
top_left_route116.DIB.png,800,160,normal_house,574,78,660,150
top_left_route116.DIB.png,800,160,cave,730,101,790,148
top_right_route116.DIB.png,800,160,cave,217,133,276,160
bot_right_route116.DIB.png,800,160,cave,217,1,276,18
top_left_underwater7.DIB.png,640,320,cave,324,140,396,179
bot_right_underwater7.DIB.png,640,320,cave,48,139,128,179
top_left_route119.DIB.png,320,1120,misc,62,481,146,539
bot_right_route119.DIB.png,320,1120,normal_house,189,574,260,642
